complex_color,simple_color,rgb
browny orange,orange,"(202, 107, 2)"
nice blue,blue,"(16, 122, 176)"
sapphire,blue,"(33, 56, 171)"
greyish teal,green,"(113, 159, 145)"
orangey yellow,orange,"(253, 185, 21)"
parchment,yellow,"(254, 252, 175)"
straw,yellow,"(252, 246, 121)"
very dark brown,black,"(29, 2, 0)"
terracota,brown,"(203, 104, 67)"
ugly blue,blue,"(49, 102, 138)"
clear blue,blue,"(36, 122, 253)"
creme,yellow,"(255, 255, 182)"
foam green,green,"(144, 253, 169)"
grey/green,green,"(134, 161, 125)"
light gold,yellow,"(253, 220, 92)"
seafoam blue,green,"(120, 209, 182)"
topaz,blue,"(19, 187, 175)"
violet pink,pink,"(251, 95, 252)"
wintergreen,green,"(32, 249, 134)"
yellow tan,yellow,"(255, 227, 110)"
dark fuchsia,red,"(157, 7, 89)"
indigo blue,blue,"(58, 24, 177)"
light yellowish green,green,"(194, 255, 137)"
pale magenta,pink,"(215, 103, 173)"
rich purple,purple,"(114, 0, 88)"
sunflower yellow,yellow,"(255, 218, 3)"
green/blue,green,"(1, 192, 141)"
leather,brown,"(172, 116, 52)"
racing green,green,"(1, 70, 0)"
vivid purple,purple,"(153, 0, 250)"
dark royal blue,blue,"(2, 6, 111)"
hazel,brown,"(142, 118, 24)"
muted pink,pink,"(209, 118, 143)"
booger green,green,"(150, 180, 3)"
canary,yellow,"(253, 255, 99)"
cool grey,grey,"(149, 163, 166)"
dark taupe,brown,"(127, 104, 78)"
darkish purple,purple,"(117, 25, 115)"
true green,green,"(8, 148, 4)"
coral pink,pink,"(255, 97, 99)"
dark sage,green,"(89, 133, 86)"
dark slate blue,blue,"(33, 71, 97)"
flat blue,blue,"(60, 115, 168)"
mushroom,beige,"(186, 158, 136)"
rich blue,blue,"(2, 27, 249)"
dirty purple,purple,"(115, 74, 101)"
greenblue,green,"(35, 196, 139)"
icky green,green,"(143, 174, 34)"
light khaki,green,"(230, 242, 162)"
warm blue,blue,"(75, 87, 219)"
dark hot pink,pink,"(217, 1, 102)"
deep sea blue,blue,"(1, 84, 130)"
carmine,red,"(157, 2, 22)"
dark yellow green,green,"(114, 143, 2)"
pale peach,beige,"(255, 229, 173)"
plum purple,purple,"(78, 5, 80)"
golden rod,orange,"(249, 188, 8)"
neon red,red,"(255, 7, 58)"
old pink,pink,"(199, 121, 134)"
very pale blue,blue,"(214, 255, 254)"
blood orange,red,"(254, 75, 3)"
grapefruit,pink,"(253, 89, 86)"
sand yellow,yellow,"(252, 225, 102)"
clay brown,brown,"(178, 113, 61)"
dark blue grey,blue,"(31, 59, 77)"
flat green,green,"(105, 157, 76)"
light green blue,green,"(86, 252, 162)"
warm pink,pink,"(251, 85, 129)"
dodger blue,blue,"(62, 130, 252)"
gross green,green,"(160, 191, 22)"
ice,blue,"(214, 255, 250)"
metallic blue,blue,"(79, 115, 142)"
pale salmon,pink,"(255, 177, 154)"
sap green,green,"(92, 139, 21)"
algae,green,"(84, 172, 104)"
bluey grey,blue,"(137, 160, 176)"
greeny grey,green,"(126, 160, 122)"
highlighter green,green,"(27, 252, 6)"
light light blue,blue,"(202, 255, 251)"
light mint,green,"(182, 255, 187)"
raw umber,brown,"(167, 94, 9)"
vivid blue,blue,"(21, 46, 255)"
deep lavender,purple,"(141, 94, 183)"
dull teal,green,"(95, 158, 143)"
light greenish blue,green,"(99, 247, 180)"
mud green,green,"(96, 102, 2)"
pinky,pink,"(252, 134, 170)"
red wine,red,"(140, 0, 52)"
tan brown,beige,"(171, 126, 76)"
darkblue,blue,"(3, 7, 100)"
rosa,pink,"(254, 134, 164)"
lipstick,red,"(213, 23, 78)"
pale mauve,pink,"(254, 208, 252)"
claret,red,"(104, 0, 24)"
dandelion,yellow,"(254, 223, 8)"
orangered,orange,"(254, 66, 15)"
poop green,green,"(111, 124, 0)"
ruby,red,"(202, 1, 71)"
dark,black,"(27, 36, 49)"
greenish turquoise,green,"(0, 251, 176)"
pastel red,orange,"(219, 88, 86)"
piss yellow,green,"(221, 214, 24)"
bright cyan,blue,"(65, 253, 254)"
dark coral,orange,"(207, 82, 78)"
algae green,green,"(33, 195, 111)"
darkish red,red,"(169, 3, 8)"
reddy brown,brown,"(110, 16, 5)"
blush pink,pink,"(254, 130, 140)"
camouflage green,green,"(75, 97, 19)"
lawn green,green,"(77, 164, 9)"
putty,beige,"(190, 174, 138)"
vibrant blue,blue,"(3, 57, 248)"
dark sand,beige,"(168, 143, 89)"
purple/blue,purple,"(93, 33, 208)"
saffron,orange,"(254, 178, 9)"
twilight,blue,"(78, 81, 139)"
warm brown,brown,"(150, 78, 2)"
bluegrey,grey,"(133, 163, 178)"
bubble gum pink,pink,"(255, 105, 175)"
duck egg blue,blue,"(195, 251, 244)"
greenish cyan,green,"(42, 254, 183)"
petrol,green,"(0, 95, 106)"
royal,blue,"(12, 23, 147)"
butter,yellow,"(255, 255, 129)"
dusty orange,orange,"(240, 131, 58)"
off yellow,yellow,"(241, 243, 63)"
pale olive green,green,"(177, 210, 123)"
orangish,orange,"(252, 130, 74)"
leaf,green,"(113, 170, 52)"
light blue grey,blue,"(183, 201, 226)"
dried blood,brown,"(75, 1, 1)"
lightish purple,purple,"(165, 82, 230)"
rusty red,orange,"(175, 47, 13)"
lavender blue,purple,"(139, 136, 248)"
light grass green,green,"(154, 247, 100)"
light mint green,green,"(166, 251, 178)"
sunflower,orange,"(255, 197, 18)"
velvet,purple,"(117, 8, 81)"
brick orange,orange,"(193, 74, 9)"
lightish red,pink,"(254, 47, 74)"
pure blue,blue,"(2, 3, 226)"
twilight blue,blue,"(10, 67, 122)"
violet red,purple,"(165, 0, 85)"
yellowy brown,brown,"(174, 139, 12)"
carnation,pink,"(253, 121, 143)"
muddy yellow,brown,"(191, 172, 5)"
dark seafoam green,green,"(62, 175, 118)"
deep rose,pink,"(199, 71, 103)"
dusty red,red,"(185, 72, 78)"
grey/blue,blue,"(100, 125, 142)"
lemon lime,green,"(191, 254, 40)"
purple/pink,purple,"(215, 37, 222)"
brown yellow,brown,"(178, 151, 5)"
purple brown,brown,"(103, 58, 63)"
wisteria,purple,"(168, 125, 194)"
banana yellow,yellow,"(250, 254, 75)"
lipstick red,red,"(192, 2, 47)"
water blue,blue,"(14, 135, 204)"
brown grey,grey,"(141, 132, 104)"
vibrant purple,purple,"(173, 3, 222)"
baby green,green,"(140, 255, 158)"
barf green,green,"(148, 172, 2)"
eggshell blue,blue,"(196, 255, 247)"
sandy yellow,yellow,"(253, 238, 115)"
cool green,green,"(51, 184, 100)"
pale,beige,"(255, 249, 208)"
blue/grey,grey,"(117, 141, 163)"
hot magenta,pink,"(245, 4, 201)"
greyblue,blue,"(119, 161, 181)"
purpley,purple,"(135, 86, 228)"
brownish pink,pink,"(194, 126, 121)"
dark aquamarine,green,"(1, 115, 113)"
diarrhea,brown,"(159, 131, 3)"
light mustard,yellow,"(247, 213, 96)"
pale sky blue,blue,"(189, 246, 254)"
turtle green,green,"(117, 184, 79)"
bright olive,green,"(156, 187, 4)"
dark grey blue,blue,"(41, 70, 91)"
greeny brown,brown,"(105, 96, 6)"
lemon green,green,"(173, 248, 2)"
light periwinkle,purple,"(193, 198, 252)"
seaweed green,green,"(53, 173, 107)"
sunshine yellow,yellow,"(255, 253, 55)"
ugly purple,purple,"(164, 66, 160)"
medium pink,pink,"(243, 97, 150)"
puke brown,brown,"(148, 119, 6)"
very light pink,pink,"(255, 244, 242)"
viridian,green,"(30, 145, 103)"
bile,green,"(181, 195, 6)"
faded yellow,yellow,"(254, 255, 127)"
very pale green,green,"(207, 253, 188)"
vibrant green,green,"(10, 221, 8)"
bright lime,green,"(135, 253, 5)"
spearmint,green,"(30, 248, 118)"
light aquamarine,green,"(123, 253, 199)"
light sage,green,"(188, 236, 172)"
yellowgreen,green,"(187, 249, 15)"
baby poo,brown,"(171, 144, 4)"
dark seafoam,green,"(31, 181, 122)"
deep teal,green,"(0, 85, 90)"
heather,purple,"(164, 132, 172)"
rust orange,orange,"(196, 85, 8)"
dirty blue,blue,"(63, 130, 157)"
fern green,green,"(84, 141, 68)"
bright lilac,purple,"(201, 94, 251)"
weird green,green,"(58, 229, 127)"
peacock blue,blue,"(1, 103, 149)"
avocado green,green,"(135, 169, 34)"
faded orange,orange,"(240, 148, 77)"
grape purple,purple,"(93, 20, 81)"
hot green,green,"(37, 255, 41)"
lime yellow,green,"(208, 254, 29)"
mango,orange,"(255, 166, 43)"
shamrock,green,"(1, 180, 76)"
bubblegum,pink,"(255, 108, 181)"
purplish brown,purple,"(107, 66, 71)"
vomit yellow,yellow,"(199, 193, 12)"
pale cyan,blue,"(183, 255, 250)"
key lime,green,"(174, 255, 110)"
tomato red,red,"(236, 45, 1)"
lightgreen,green,"(118, 255, 123)"
merlot,purple,"(115, 0, 57)"
night blue,blue,"(4, 3, 72)"
purpleish pink,pink,"(223, 78, 200)"
apple,green,"(110, 203, 60)"
baby poop green,green,"(143, 152, 5)"
green apple,green,"(94, 220, 31)"
heliotrope,purple,"(217, 79, 245)"
yellow/green,green,"(200, 253, 61)"
almost black,black,"(7, 13, 13)"
cool blue,blue,"(73, 132, 184)"
leafy green,green,"(81, 183, 59)"
mustard brown,brown,"(172, 126, 4)"
dusk,blue,"(78, 84, 129)"
dull brown,brown,"(135, 110, 75)"
frog green,green,"(88, 188, 8)"
vivid green,green,"(47, 239, 16)"
bright light green,green,"(45, 254, 84)"
fluro green,green,"(10, 255, 2)"
kiwi,green,"(156, 239, 67)"
seaweed,green,"(24, 209, 123)"
navy green,green,"(53, 83, 10)"
ultramarine blue,blue,"(24, 5, 219)"
iris,purple,"(98, 88, 196)"
pastel orange,orange,"(255, 150, 79)"
yellowish orange,orange,"(255, 171, 15)"
perrywinkle,purple,"(143, 140, 231)"
tealish,green,"(36, 188, 168)"
dark plum,purple,"(63, 1, 44)"
pear,green,"(203, 248, 95)"
pinkish orange,orange,"(255, 114, 76)"
midnight purple,black,"(40, 1, 55)"
light urple,purple,"(179, 111, 246)"
dark mint,green,"(72, 192, 114)"
greenish tan,green,"(188, 203, 122)"
light burgundy,red,"(168, 65, 91)"
turquoise blue,blue,"(6, 177, 196)"
ugly pink,pink,"(205, 117, 132)"
sandy,beige,"(241, 218, 122)"
electric pink,pink,"(255, 4, 144)"
muted purple,purple,"(128, 91, 135)"
mid green,green,"(80, 167, 71)"
greyish,grey,"(168, 164, 149)"
neon yellow,green,"(207, 255, 4)"
banana,yellow,"(255, 255, 126)"
carnation pink,pink,"(255, 127, 167)"
tomato,red,"(239, 64, 38)"
sea,green,"(60, 153, 146)"
muddy brown,brown,"(136, 104, 6)"
turquoise green,green,"(4, 244, 137)"
buff,yellow,"(254, 246, 158)"
fawn,beige,"(207, 175, 123)"
muted blue,blue,"(59, 113, 159)"
pale rose,pink,"(253, 193, 197)"
dark mint green,green,"(32, 192, 115)"
amethyst,purple,"(155, 95, 192)"
blue/green,green,"(15, 155, 142)"
chestnut,brown,"(116, 40, 2)"
sick green,green,"(157, 185, 44)"
pea,green,"(164, 191, 32)"
rusty orange,orange,"(205, 89, 9)"
stone,grey,"(173, 165, 135)"
rose red,red,"(190, 1, 60)"
pale aqua,blue,"(184, 255, 235)"
deep orange,orange,"(220, 77, 1)"
earth,brown,"(162, 101, 62)"
mossy green,green,"(99, 139, 39)"
grassy green,green,"(65, 156, 3)"
pale lime green,green,"(177, 255, 101)"
light grey blue,blue,"(157, 188, 212)"
pale grey,white,"(253, 253, 254)"
asparagus,green,"(119, 171, 86)"
blueberry,blue,"(70, 65, 150)"
purple red,red,"(153, 1, 71)"
pale lime,green,"(190, 253, 115)"
greenish teal,green,"(50, 191, 132)"
caramel,brown,"(175, 111, 9)"
deep magenta,purple,"(160, 2, 92)"
light peach,beige,"(255, 216, 177)"
milk chocolate,brown,"(127, 78, 30)"
ocher,brown,"(191, 155, 12)"
off green,green,"(107, 163, 83)"
purply pink,purple,"(240, 117, 230)"
lightblue,blue,"(123, 200, 246)"
dusky blue,blue,"(71, 95, 148)"
golden,orange,"(245, 191, 3)"
light beige,yellow,"(255, 254, 182)"
butter yellow,yellow,"(255, 253, 116)"
dusky purple,purple,"(137, 91, 123)"
french blue,blue,"(67, 107, 173)"
ugly yellow,green,"(208, 193, 1)"
greeny yellow,green,"(198, 248, 8)"
orangish red,red,"(244, 54, 5)"
shamrock green,green,"(2, 193, 77)"
orangish brown,brown,"(178, 95, 3)"
tree green,green,"(42, 126, 25)"
deep violet,purple,"(73, 6, 72)"
gunmetal,grey,"(83, 98, 103)"
blue/purple,blue,"(90, 6, 239)"
cherry,red,"(207, 2, 52)"
sandy brown,beige,"(196, 166, 97)"
warm grey,grey,"(151, 138, 132)"
dark indigo,blue,"(31, 9, 84)"
midnight,black,"(3, 1, 45)"
bluey green,green,"(43, 177, 121)"
grey pink,pink,"(195, 144, 155)"
soft purple,purple,"(166, 111, 181)"
blood,red,"(119, 0, 1)"
brown red,brown,"(146, 43, 5)"
medium grey,grey,"(125, 127, 124)"
berry,purple,"(153, 15, 75)"
poo,brown,"(143, 115, 3)"
purpley pink,purple,"(200, 60, 185)"
light salmon,pink,"(254, 169, 147)"
snot,green,"(172, 187, 13)"
easter purple,purple,"(192, 113, 254)"
light yellow green,green,"(204, 253, 127)"
dark navy blue,black,"(0, 2, 46)"
drab,green,"(130, 131, 68)"
light rose,pink,"(255, 197, 203)"
rouge,red,"(171, 18, 57)"
purplish red,red,"(176, 5, 75)"
slime green,green,"(153, 204, 4)"
baby poop,brown,"(147, 124, 0)"
irish green,green,"(1, 149, 41)"
pink/purple,purple,"(239, 29, 231)"
dark navy,black,"(0, 4, 53)"
greeny blue,green,"(66, 179, 149)"
light plum,purple,"(157, 87, 131)"
pinkish grey,beige,"(200, 172, 169)"
dirty orange,brown,"(200, 118, 6)"
rust red,brown,"(170, 39, 4)"
pale lilac,purple,"(228, 203, 255)"
orangey red,red,"(250, 66, 36)"
primary blue,blue,"(8, 4, 249)"
kermit green,green,"(92, 178, 0)"
brownish purple,brown,"(118, 66, 78)"
murky green,green,"(108, 122, 14)"
wheat,yellow,"(251, 221, 126)"
very dark purple,black,"(42, 1, 52)"
bottle green,green,"(4, 74, 5)"
watermelon,red,"(253, 70, 89)"
deep sky blue,blue,"(13, 117, 248)"
fire engine red,red,"(254, 0, 2)"
yellow ochre,beige,"(203, 157, 6)"
pumpkin orange,orange,"(251, 125, 7)"
pale olive,green,"(185, 204, 129)"
light lilac,purple,"(237, 200, 255)"
lightish green,green,"(97, 225, 96)"
carolina blue,blue,"(138, 184, 254)"
mulberry,purple,"(146, 10, 78)"
shocking pink,pink,"(254, 2, 162)"
auburn,brown,"(154, 48, 1)"
bright lime green,green,"(101, 254, 8)"
celadon,green,"(190, 253, 183)"
pinkish brown,brown,"(177, 114, 97)"
poo brown,brown,"(136, 95, 1)"
bright sky blue,blue,"(2, 204, 254)"
celery,green,"(193, 253, 149)"
dirt brown,brown,"(131, 101, 57)"
strawberry,red,"(251, 41, 67)"
dark lime,green,"(132, 183, 1)"
copper,brown,"(182, 99, 37)"
medium brown,brown,"(127, 81, 18)"
muted green,green,"(95, 160, 82)"
robin's egg,blue,"(109, 237, 253)"
bright aqua,blue,"(11, 249, 234)"
bright lavender,purple,"(199, 96, 255)"
ivory yellow,yellow,"(255, 255, 203)"
ivory,beige,"(245, 238, 224)"
very light purple,purple,"(246, 206, 252)"
light navy,blue,"(21, 80, 132)"
pink red,red,"(245, 5, 79)"
olive brown,brown,"(100, 84, 3)"
poop brown,brown,"(122, 89, 1)"
mustard green,green,"(168, 181, 4)"
ocean green,green,"(61, 153, 115)"
very dark blue,black,"(0, 1, 51)"
dusty green,green,"(118, 169, 115)"
light navy blue,blue,"(46, 90, 136)"
minty green,green,"(11, 247, 125)"
adobe,brown,"(189, 108, 72)"
barney,purple,"(172, 29, 184)"
jade green,green,"(43, 175, 106)"
bright light blue,blue,"(38, 247, 253)"
light lime,green,"(174, 253, 108)"
dark khaki,green,"(155, 143, 85)"
orange yellow,orange,"(255, 173, 1)"
ocre,brown,"(198, 156, 4)"
maize,yellow,"(244, 208, 84)"
faded pink,pink,"(222, 157, 172)"
british racing green,green,"(5, 72, 13)"
sandstone,beige,"(201, 174, 116)"
mud brown,brown,"(96, 70, 15)"
light sea green,green,"(152, 246, 176)"
robin egg blue,blue,"(138, 241, 254)"
aqua marine,green,"(46, 232, 187)"
dark sea green,green,"(17, 135, 93)"
soft pink,pink,"(253, 176, 192)"
orangey brown,brown,"(177, 96, 2)"
cherry red,red,"(247, 2, 42)"
burnt yellow,brown,"(213, 171, 9)"
brownish grey,grey,"(134, 119, 95)"
camel,brown,"(200, 160, 95)"
purplish grey,purple,"(122, 104, 127)"
marine,blue,"(4, 46, 96)"
greyish pink,pink,"(200, 141, 148)"
pale turquoise,green,"(165, 251, 213)"
pastel yellow,yellow,"(255, 254, 113)"
bluey purple,purple,"(98, 65, 199)"
canary yellow,yellow,"(255, 254, 64)"
faded red,red,"(211, 73, 78)"
sepia,brown,"(152, 94, 43)"
coffee,brown,"(166, 129, 76)"
bright magenta,purple,"(255, 8, 232)"
mocha,brown,"(157, 118, 81)"
ecru,yellow,"(254, 255, 202)"
purpleish,purple,"(152, 86, 141)"
cranberry,red,"(158, 0, 58)"
darkish green,green,"(40, 124, 55)"
brown orange,brown,"(185, 105, 2)"
dusky rose,brown,"(186, 104, 115)"
melon,orange,"(255, 120, 85)"
sickly green,green,"(148, 178, 28)"
silver,grey,"(197, 201, 199)"
purply blue,blue,"(102, 26, 238)"
purpleish blue,blue,"(97, 64, 239)"
hospital green,green,"(155, 229, 170)"
mid blue,blue,"(39, 106, 179)"
amber,orange,"(254, 179, 8)"
easter green,green,"(140, 253, 126)"
soft blue,blue,"(100, 136, 234)"
cerulean blue,blue,"(5, 110, 238)"
golden brown,brown,"(178, 122, 1)"
bright turquoise,blue,"(15, 254, 249)"
red pink,red,"(250, 42, 85)"
red purple,purple,"(130, 7, 71)"
greyish brown,grey,"(122, 106, 79)"
vermillion,red,"(244, 50, 12)"
russet,brown,"(161, 57, 5)"
steel grey,grey,"(111, 130, 138)"
lighter purple,purple,"(165, 90, 244)"
bright violet,purple,"(173, 10, 253)"
prussian blue,blue,"(0, 69, 119)"
slate green,green,"(101, 141, 109)"
dirty pink,brown,"(202, 123, 128)"
dark blue green,green,"(0, 82, 73)"
pine,green,"(43, 93, 52)"
yellowy green,green,"(191, 241, 40)"
dark gold,brown,"(181, 148, 16)"
bluish,blue,"(41, 118, 187)"
darkish blue,blue,"(1, 65, 130)"
dull red,red,"(187, 63, 63)"
pinky red,red,"(252, 38, 71)"
bronze,brown,"(168, 121, 0)"
pale teal,green,"(130, 203, 178)"
military green,green,"(102, 124, 62)"
barbie pink,pink,"(254, 70, 165)"
bubblegum pink,pink,"(254, 131, 204)"
pea soup green,green,"(148, 166, 23)"
dark mustard,brown,"(168, 137, 5)"
medium purple,purple,"(158, 67, 162)"
very dark green,green,"(6, 46, 3)"
dirt,brown,"(138, 110, 69)"
dusky pink,brown,"(204, 122, 139)"
red violet,purple,"(158, 1, 104)"
lemon yellow,yellow,"(253, 255, 56)"
pistachio,green,"(192, 250, 139)"
dull yellow,yellow,"(238, 220, 91)"
dark lime green,green,"(126, 189, 1)"
denim blue,blue,"(59, 91, 146)"
teal blue,blue,"(1, 136, 159)"
lightish blue,blue,"(61, 122, 253)"
purpley blue,blue,"(95, 52, 231)"
light indigo,purple,"(109, 90, 207)"
swamp green,green,"(116, 133, 0)"
brown green,green,"(112, 108, 17)"
dark maroon,black,"(60, 0, 8)"
hot purple,purple,"(203, 0, 245)"
dark forest green,green,"(0, 45, 4)"
faded blue,blue,"(101, 140, 187)"
drab green,green,"(116, 149, 81)"
light lime green,green,"(185, 255, 102)"
snot green,green,"(157, 193, 0)"
yellowish,yellow,"(250, 238, 102)"
light blue green,green,"(126, 251, 179)"
bordeaux,red,"(123, 0, 44)"
light mauve,pink,"(194, 146, 161)"
ocean,blue,"(1, 123, 146)"
marigold,orange,"(252, 192, 6)"
muddy green,green,"(101, 116, 50)"
dull orange,brown,"(216, 134, 59)"
steel,grey,"(115, 133, 149)"
electric purple,purple,"(170, 35, 255)"
fluorescent green,green,"(8, 255, 8)"
yellowish brown,brown,"(155, 122, 1)"
blush,pink,"(242, 158, 142)"
soft green,green,"(111, 194, 118)"
bright orange,orange,"(255, 91, 0)"
lemon,yellow,"(253, 255, 82)"
purple grey,grey,"(134, 111, 133)"
acid green,green,"(143, 254, 9)"
pale lavender,purple,"(238, 207, 254)"
violet blue,blue,"(81, 10, 201)"
light forest green,green,"(79, 145, 83)"
burnt red,brown,"(159, 35, 5)"
khaki green,green,"(114, 134, 57)"
cerise,pink,"(222, 12, 98)"
faded purple,purple,"(145, 110, 153)"
apricot,orange,"(255, 177, 109)"
dark olive green,green,"(60, 77, 3)"
grey brown,grey,"(127, 112, 83)"
green grey,green,"(119, 146, 111)"
true blue,blue,"(1, 15, 204)"
pale violet,purple,"(206, 174, 250)"
periwinkle blue,blue,"(143, 153, 251)"
light sky blue,blue,"(198, 252, 255)"
blurple,blue,"(85, 57, 204)"
green brown,green,"(84, 78, 3)"
bluegreen,green,"(1, 122, 121)"
bright teal,green,"(1, 249, 198)"
brownish yellow,yellow,"(201, 176, 3)"
pea soup,green,"(146, 153, 1)"
forest,green,"(11, 85, 9)"
barney purple,purple,"(160, 4, 152)"
ultramarine,blue,"(32, 0, 177)"
purplish,purple,"(148, 86, 140)"
puke yellow,green,"(194, 190, 14)"
bluish grey,grey,"(116, 139, 151)"
dark periwinkle,purple,"(102, 95, 209)"
dark lilac,purple,"(156, 109, 165)"
reddish,red,"(196, 66, 64)"
light maroon,red,"(162, 72, 87)"
dusty purple,purple,"(130, 95, 135)"
terra cotta,brown,"(201, 100, 59)"
avocado,green,"(144, 177, 52)"
marine blue,blue,"(1, 56, 106)"
teal green,green,"(37, 163, 111)"
slate grey,grey,"(89, 101, 109)"
lighter green,green,"(117, 253, 99)"
electric green,green,"(33, 252, 13)"
dusty blue,blue,"(90, 134, 173)"
golden yellow,yellow,"(254, 198, 21)"
bright yellow,yellow,"(255, 253, 1)"
light lavender,purple,"(223, 197, 254)"
umber,brown,"(178, 100, 0)"
poop,brown,"(127, 94, 0)"
dark peach,orange,"(222, 126, 93)"
jungle green,green,"(4, 130, 67)"
eggshell,yellow,"(255, 255, 212)"
denim,blue,"(59, 99, 140)"
yellow brown,beige,"(183, 148, 0)"
dull purple,purple,"(132, 89, 126)"
chocolate brown,brown,"(65, 25, 0)"
wine red,red,"(123, 3, 35)"
neon blue,blue,"(4, 217, 255)"
dirty green,green,"(102, 126, 44)"
light tan,beige,"(251, 238, 172)"
ice blue,blue,"(215, 255, 254)"
cadet blue,blue,"(78, 116, 150)"
dark mauve,purple,"(135, 76, 98)"
very light blue,blue,"(213, 255, 255)"
grey purple,purple,"(130, 109, 140)"
pastel pink,pink,"(255, 186, 205)"
very light green,green,"(209, 255, 189)"
dark sky blue,blue,"(68, 142, 228)"
evergreen,green,"(5, 71, 42)"
dull pink,pink,"(213, 134, 157)"
aubergine,black,"(61, 7, 52)"
mahogany,brown,"(74, 1, 0)"
reddish orange,red,"(248, 72, 28)"
deep green,green,"(2, 89, 15)"
